City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Tiksi,RU,71.6872,128.8694,19.81,96,100,4.99,overcast clouds
108,Bereda,ES,43.2686,-7.5406,68.0,47,0,13.0,clear sky
109,Avarua,CK,-21.2078,-159.775,75.2,60,40,8.05,scattered clouds
110,Lavrentiya,RU,65.5833,-171.0,25.45,78,14,2.66,few clouds
111,Harper,LR,4.375,-7.7169,79.72,83,66,7.78,broken clouds
112,Esperance,AU,-33.8667,121.9,55.4,94,90,10.36,overcast clouds
113,Erdenet,MN,49.0333,104.0833,40.89,67,90,2.68,overcast clouds
114,Shelburne,CA,44.0787,-80.2041,57.0,47,1,13.8,clear sky
115,Yumen,CN,40.2833,97.2,65.55,24,100,2.37,overcast clouds
116,San Patricio,US,28.017,-97.5169,89.6,58,40,20.71,scattered clouds
117,Vestmannaeyjar,IS,63.4427,-20.2734,38.64,53,91,6.17,overcast clouds
118,Vostok,RU,46.4856,135.8833,41.29,91,100,4.7,light rain
119,Victoria,HK,22.2855,114.1577,81.0,87,15,1.01,few clouds
120,Palmer,US,42.1584,-72.3287,59.0,35,90,6.91,overcast clouds
121,Albany,US,42.6001,-73.9662,55.99,45,100,1.99,overcast clouds
122,Mar Del Plata,AR,-38.0023,-57.5575,62.6,55,40,8.05,scattered clouds
123,Viedma,AR,-40.8135,-62.9967,65.89,31,100,20.47,overcast clouds
124,Tual,ID,-5.6667,132.75,83.26,73,98,16.69,overcast clouds
125,Aklavik,CA,68.2191,-135.0107,24.8,93,90,4.61,snow
126,Lahij,YE,13.1667,44.5833,84.18,57,100,6.71,overcast clouds
127,Itarema,BR,-2.9248,-39.9167,82.29,76,28,11.63,scattered clouds
128,Henties Bay,NA,-22.116,14.2845,59.0,89,0,6.55,clear sky
129,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,40,17.27,scattered clouds
130,New Norfolk,AU,-42.7826,147.0587,41.0,81,91,3.2,overcast clouds
131,Simoes,BR,-7.5989,-40.8178,88.77,37,7,9.71,clear sky
132,Concordia,AR,-31.393,-58.0209,70.0,60,20,4.61,few clouds
133,Port Macquarie,AU,-31.4333,152.9167,64.4,100,75,1.14,light rain
134,Paita,PE,-5.0892,-81.1144,80.6,61,0,16.11,clear sky
135,Jadu,LY,31.953,12.0261,63.54,37,0,9.1,clear sky
136,Bontang,ID,0.1333,117.5,77.02,90,100,4.41,overcast clouds
137,Leningradskiy,RU,69.3833,178.4167,16.38,94,100,5.41,overcast clouds
138,Plouzane,FR,48.3833,-4.6167,59.0,88,90,24.16,overcast clouds
139,Biltine,TD,14.5333,20.9167,92.3,21,76,4.03,broken clouds
140,Vikulovo,RU,56.8167,70.6107,56.98,50,79,7.58,broken clouds
141,Erenhot,CN,43.6475,111.9767,53.01,23,100,6.22,overcast clouds
142,Grootfontein,NA,-19.5667,18.1167,70.74,34,77,4.27,broken clouds
143,Kerema,PG,-7.9631,145.7785,78.55,87,89,5.5,overcast clouds
144,Hermanus,ZA,-34.4187,19.2345,60.01,92,21,6.42,few clouds
145,Thompson,CA,55.7435,-97.8558,41.0,42,1,10.36,clear sky
146,Port Alfred,ZA,-33.5906,26.891,63.39,84,100,29.08,light rain
147,Dickinson,US,29.4608,-95.0513,84.0,65,75,14.97,broken clouds
148,Birjand,IR,32.8663,59.2211,71.6,33,40,6.91,scattered clouds
149,Bathsheba,BB,13.2167,-59.5167,86.0,54,40,21.85,scattered clouds
150,Bambous Virieux,MU,-20.3428,57.7575,71.6,73,40,6.91,scattered clouds
151,Cayenne,GF,4.9333,-52.3333,86.0,66,40,16.11,scattered clouds
152,Asau,RO,46.4333,26.4,48.2,66,75,6.91,broken clouds
153,Staryy Nadym,RU,65.6118,72.6842,32.02,92,98,4.36,overcast clouds
154,Crotone,IT,39.0851,17.1178,66.2,68,0,10.36,clear sky
155,Pingliang,CN,35.5392,106.6861,61.88,38,6,5.03,clear sky
156,Lata,PT,40.1629,-8.3327,66.0,81,0,8.01,clear sky
157,Hirado,JP,33.3597,129.5531,69.01,43,49,3.0,scattered clouds
158,Touros,BR,-5.1989,-35.4608,86.0,62,40,12.66,scattered clouds
159,Aden,YE,12.7794,45.0367,86.13,68,99,5.06,overcast clouds
160,San Carlos,VE,9.6612,-68.5827,77.27,89,100,2.04,overcast clouds
161,Saquarema,BR,-22.92,-42.5103,75.2,73,75,8.05,broken clouds
162,Maxixe,MZ,-23.8597,35.3472,69.01,88,20,3.44,few clouds
163,Emerald,AU,-23.5333,148.1667,62.6,59,100,3.44,overcast clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,90,23.02,light snow
165,Pavlivka,UA,49.4414,28.4596,44.6,70,8,11.18,clear sky
166,Muroto,JP,33.2833,134.15,64.49,88,100,9.22,overcast clouds
167,Youhao,CN,47.8667,128.8333,40.53,96,100,9.73,light rain
168,Shingu,JP,33.7333,135.9833,64.29,86,100,6.35,heavy intensity rain
169,Aasiaat,GL,68.7098,-52.8699,31.86,68,100,6.31,overcast clouds
170,Narsaq,GL,60.9167,-46.05,50.0,23,20,8.05,few clouds
171,Kaili,ID,-3.4626,120.2147,67.66,97,100,2.06,overcast clouds
172,Menongue,AO,-14.6585,17.691,65.37,53,1,3.62,clear sky
173,Macheng,CN,31.1783,115.0319,68.61,84,0,3.67,clear sky
174,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,57.99,48,100,7.27,overcast clouds
175,Tatishchevo,RU,51.6703,45.5953,55.47,55,100,6.49,overcast clouds
176,Smithers,CA,54.7804,-127.1743,46.4,53,90,3.44,overcast clouds
177,Mareeba,AU,-17.0,145.4333,73.4,78,40,9.22,scattered clouds
178,San Cristobal,VE,7.7669,-72.225,80.6,74,40,6.91,scattered clouds
179,Rayadrug,IN,14.7,76.8667,88.11,43,69,16.91,broken clouds
180,Tigil,RU,57.8,158.6667,29.16,83,62,7.23,broken clouds
181,Hambantota,LK,6.1241,81.1185,77.0,100,20,5.75,few clouds
182,Bousse,BF,12.6606,-1.8922,98.6,30,100,4.61,overcast clouds
183,Hegang,CN,47.4,130.3667,40.23,94,100,15.35,light rain
184,Sitka,US,57.0531,-135.33,48.2,81,90,4.61,overcast clouds
185,San Andres,CO,12.5847,-81.7006,86.0,70,40,18.41,scattered clouds
186,Kanniyakumari,IN,8.0833,77.5667,83.7,74,100,7.96,moderate rain
187,Xinzhi,CN,36.4989,111.7047,68.43,37,9,3.47,clear sky
188,Peru,US,40.7537,-86.0689,53.6,47,1,3.44,clear sky
189,Borogontsy,RU,62.6683,131.1683,36.25,92,100,3.44,overcast clouds
190,Luderitz,NA,-26.6481,15.1594,66.47,52,0,18.79,clear sky
191,Beringovskiy,RU,63.05,179.3167,29.05,85,85,8.99,overcast clouds
192,Opuwo,NA,-18.0607,13.84,76.05,37,86,6.26,overcast clouds
193,Barrow,US,71.2906,-156.7887,15.8,79,90,13.8,overcast clouds
194,Constitucion,CL,-35.3333,-72.4167,60.21,73,100,4.65,light rain
195,Cabo San Lucas,MX,22.8909,-109.9124,89.6,30,1,3.44,clear sky
196,Honningsvag,NO,70.9821,25.9704,37.22,77,79,9.13,broken clouds
197,Norman Wells,CA,65.282,-126.8329,41.0,56,20,10.36,few clouds
198,Cidreira,BR,-30.1811,-50.2056,65.48,66,0,4.61,clear sky
199,Kapuskasing,CA,49.4169,-82.4331,44.6,57,100,6.91,light rain
200,Carutapera,BR,-1.195,-46.02,83.23,74,22,7.36,few clouds
201,Hay River,CA,60.8156,-115.7999,55.4,41,100,6.91,overcast clouds
202,Srbac,BA,45.0978,17.525,57.2,51,0,2.3,clear sky
203,Gizo,SB,-8.103,156.8419,82.58,79,24,10.58,few clouds
204,Sangar,RU,63.9242,127.4739,27.09,96,43,2.51,scattered clouds
205,Upernavik,GL,72.7868,-56.1549,29.84,82,87,1.36,overcast clouds
206,Plettenberg Bay,ZA,-34.0527,23.3716,57.07,89,22,8.34,few clouds
207,Mahon,ES,39.8885,4.2658,66.2,63,0,12.66,clear sky
208,Isangel,VU,-19.55,169.2667,77.54,81,100,17.11,overcast clouds
209,Roma,US,43.2128,-75.4557,46.0,87,90,3.44,moderate rain
210,Kapit,MY,2.0167,112.9333,72.84,99,100,0.81,overcast clouds
211,Killybegs,IE,54.6333,-8.45,60.8,51,0,6.91,clear sky
212,Betanzos,ES,43.2804,-8.2147,66.2,59,20,20.71,few clouds
213,Key West,US,24.5557,-81.7826,84.2,69,20,11.5,few clouds
214,Manokwari,ID,-0.8667,134.0833,78.06,83,33,3.58,scattered clouds
215,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,100,90,2.24,light rain
216,Inongo,CD,-1.95,18.2667,70.86,96,100,3.98,overcast clouds
217,Ozernovskiy,RU,51.5,156.5167,39.18,81,100,5.93,overcast clouds
218,Mossendjo,CG,-2.9506,12.7261,70.25,96,100,1.97,light rain
219,Sur,OM,22.5667,59.5289,86.67,55,9,12.59,clear sky
220,Solnechnyy,RU,50.7214,136.6319,31.33,95,100,8.12,light snow
221,Santa Rosa,PH,14.3122,121.1114,84.2,74,20,3.44,few clouds
222,Rumoi,JP,43.9344,141.6428,44.87,78,66,5.66,broken clouds
223,Singaparna,ID,-7.3515,108.111,72.77,91,93,1.88,overcast clouds
224,Marystown,CA,47.1666,-55.1483,43.16,86,100,15.59,overcast clouds
225,Kutum,SD,14.2,24.6667,85.28,14,26,9.04,scattered clouds
226,Kotka,FI,60.4664,26.9458,42.8,49,0,8.05,clear sky
227,Puerto Ayora,EC,-0.7393,-90.3518,82.4,61,40,20.71,scattered clouds
228,Khilok,RU,51.3674,110.4676,33.71,71,42,3.96,scattered clouds
229,Shizunai,JP,42.3339,142.3669,45.43,74,2,7.58,clear sky
230,Molepolole,BW,-24.4066,25.4951,62.6,51,0,2.3,clear sky
231,Puerto Leguizamo,CO,-0.1934,-74.7819,73.96,97,100,0.94,light rain
232,Huittinen,FI,61.1833,22.7,43.0,49,0,9.22,clear sky
233,Halifax,CA,44.6453,-63.5724,39.2,87,100,14.97,overcast clouds
234,Margate,GB,51.3813,1.3862,62.01,61,4,5.99,clear sky
235,Chapais,CA,49.7834,-74.8492,51.8,54,75,9.22,broken clouds
236,Adrar,MR,20.5022,-10.0711,94.75,12,100,9.33,overcast clouds
237,Abadiania,BR,-16.2042,-48.7069,78.8,50,40,8.05,scattered clouds
238,Ambilobe,MG,-13.2,49.05,72.27,91,56,3.8,broken clouds
239,Olafsvik,IS,64.8945,-23.7142,36.12,55,6,18.81,clear sky
240,Lasa,IT,46.6166,10.7002,68.0,46,0,5.75,clear sky
241,Faanui,PF,-16.4833,-151.75,80.02,75,100,9.71,light rain
242,Superior,US,46.7208,-92.1041,60.8,23,40,6.91,scattered clouds
243,Chernyshevskiy,RU,63.0128,112.4714,32.23,87,64,2.21,broken clouds
244,Cockburn Town,TC,21.4612,-71.1419,79.84,67,8,11.52,clear sky
245,Salym,RU,60.0625,71.4789,41.09,78,51,5.53,broken clouds
246,Longyearbyen,SJ,78.2186,15.6401,19.4,63,20,8.05,few clouds
247,Hokitika,NZ,-42.7167,170.9667,61.54,97,100,10.67,overcast clouds
248,Muros,ES,42.7762,-9.0603,64.0,76,33,17.0,scattered clouds
249,Pimentel,PE,-6.8367,-79.9342,77.0,57,0,16.11,clear sky
250,Nouadhibou,MR,20.931,-17.0347,71.6,68,0,19.57,clear sky
251,Mount Isa,AU,-20.7333,139.5,71.6,33,98,6.91,overcast clouds
252,Mahebourg,MU,-20.4081,57.7,71.6,73,40,6.91,scattered clouds
253,Sohag,EG,26.557,31.6948,100.4,6,0,6.91,clear sky
254,Colquechaca,BO,-18.6667,-66.0167,46.69,40,65,10.16,broken clouds
255,Eureka,US,40.8021,-124.1637,62.01,67,12,8.99,few clouds
256,Paciran,ID,-6.8767,112.3761,76.06,84,33,7.07,scattered clouds
